date_range_start,date_range_end,region,iso_country_code,census_block_group,number_devices_residing,number_devices_primary_daytime
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48060684,7,4
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061786,4,4
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48100290,10,10
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48110408,8,7
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48110730,14,12
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48111671,7,18
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48030093,7,7
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48060792,9,8
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48080102,7,9
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48110342,6,8
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48111668,5,6
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48112104,9,6
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061840,143,134
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48062158,42,174
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48062215,12,15
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48080375,3,3
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48112086,13,12
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48160146,4,4
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061221,4,5
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061823,4,3
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48062421,13,11
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48062399,6,5
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48070136,1,2
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48100281,12,12
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48110852,6,3
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48030121,3,3
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48060254,11,8
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48110219,9,10
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48120240,7,6
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48130300,4,5
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48060077,12,13
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48060319,2,1
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061116,7,6
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061230,19,20
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061721,8,10
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48112362,14,23
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48150125,1,1
2020-01-06T00:00:00-07:00,2020-01-13T00:00:00-07:00,ab,CA,CA:48061902,6,6
